Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Thread Group:GET Login,20,2668,1594,5513,1015.20,0.000%,.04634,2.47,0.29,54506.8
Thread Group:POST Login,20,7372,5866,10687,1174.15,0.000%,.04593,15.79,0.86,351934.2
Thread Group:Home,20,4490,3453,7645,873.13,0.000%,.04617,0.68,0.82,15154.8
Thread Group:View CarePlan,20,6904,4666,10044,1365.34,0.000%,.04599,23.71,0.78,528029.2
"Thread Group:GET Login, POST Login, Home, View CarePlan",20,22495,18897,29574,2668.44,0.000%,.04445,41.23,2.66,949624.9
TOTAL,100,8786,1594,29574,7232.25,0.000%,.22227,82.45,5.31,379850.0
