Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Thread Group:GET Login,20,1214,854,4599,787.16,0.000%,.09380,4.34,0.18,47366.4
Thread Group:POST Login,20,3246,2648,5783,641.38,0.000%,.09453,5.58,0.41,60473.2
Thread Group:Home,20,2781,2363,4387,512.59,0.000%,.09601,3.15,0.31,33623.7
Thread Group:View CarePlan,20,2794,2371,4998,531.73,0.000%,.09651,9.41,0.20,99825.6
Thread Group:Test,20,11115,9804,20051,2153.29,0.000%,.08997,21.20,1.04,241288.9
TOTAL,100,4230,854,20051,3683.38,0.000%,.44985,42.40,2.07,96515.6
