Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
GET Login,20,3567,2514,5426,705.17,0.000%,.04522,24.82,0.38,562122.6
POST Login,20,6748,5786,8178,692.24,0.000%,.04501,38.55,1.00,876837.5
Home,20,5647,5046,6417,329.78,0.000%,.04507,23.40,0.96,531683.0
View CarePlan,20,6053,5039,7227,553.57,0.000%,.04508,47.11,0.92,1069955.0
Test,20,23075,20394,25996,1399.70,0.000%,.04334,128.68,3.13,3040598.0
TOTAL,100,9018,2514,25996,7155.18,0.000%,.21668,257.36,6.25,1216239.2
