Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
View CarePlan:GET Login,20,8115,5055,9973,1436.75,0.000%,1.83016,80.74,12.27,45177.2
View CarePlan:POST Login,20,5412,4155,7075,893.42,0.000%,1.58856,9.12,2.85,5877.9
View CarePlan:Home,20,6310,5567,7772,507.84,0.000%,1.35254,7.82,2.02,5923.2
View CarePlan:View CarePlan,20,13172,10955,14994,1017.73,0.000%,.95397,12.00,2.44,12883.4
TOTAL,80,8252,4155,14994,3170.71,0.000%,2.14512,36.59,6.73,17465.4
