Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
View CarePlan:GET Login,200,3333,1872,6467,926.74,0.000%,1.40836,181.65,7.89,132074.7
View CarePlan:POST Login,200,2785,1330,8139,970.44,0.000%,1.42038,162.58,9.43,117210.0
View CarePlan:Home,200,2790,894,6493,842.99,0.000%,1.43198,149.35,8.58,106798.7
View CarePlan:View CarePlan,200,4295,2177,7038,935.06,0.000%,1.43043,160.61,10.09,114974.9
TOTAL,800,3301,894,8139,1107.11,0.000%,5.36866,617.42,33.94,117764.6
