Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Thread Group:GET Login,20,1562,822,5709,1029.25,0.000%,.06665,2.58,0.34,39597.1
Thread Group:POST Login,20,4629,3228,16375,2740.09,0.000%,.06695,10.63,1.09,162600.1
Thread Group:Home,20,3209,2548,5126,678.77,0.000%,.06994,2.24,1.05,32823.1
Thread Group:View CarePlan,20,5229,3765,21136,3684.84,0.000%,.06950,11.95,1.06,176113.8
"Thread Group:GET Login, POST Login, Home, View CarePlan",20,15687,11963,47099,7330.69,0.000%,.06375,25.59,3.29,411134.0
TOTAL,100,6063,822,47099,6326.47,0.000%,.31874,51.19,6.57,164453.6
