Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
View CarePlan:GET Login,20,4021,2743,5228,671.59,0.000%,3.48493,781.07,22.94,229507.1
View CarePlan:POST Login,20,4082,2021,5325,1002.89,0.000%,2.65111,105.77,17.27,40852.7
View CarePlan:Home,20,1942,1756,3477,357.11,0.000%,2.61643,21.22,15.72,8303.2
View CarePlan:View CarePlan,20,1524,1360,2518,235.68,0.000%,2.38977,21.92,17.05,9391.2
TOTAL,80,2892,1360,5325,1332.81,0.000%,4.87419,342.78,31.97,72013.6
